spotsID,scenicSpots,pageCount
12711,云南,15
12703,四川,15
14575,浙江,15
12938,海南,5
12871,福建,12
14387,江苏,12
14674,广东,15
12810,广西,13
12700,西藏,12
14103,贵州,13
31808,西北,15
12976,山东,15
13033,山西,15
13732,湖南,15
14731,湖北,11
12719,安徽,13
15508,江西,13
14407,河北,15
12967,河南,15
12720,内蒙古,14
16215,东北,15
12684,台湾,15
10189,香港,3
10206,澳门,1
10183,日本,15
10083,泰国,12
10754,新加坡,1
10181,印尼,13
10097,马来西亚,9
10180,越南,8
10070,柬埔寨,4
10179,缅甸,5
10067,菲律宾,10
10753,文莱,1
10101,马尔代夫,10
11213,阿联酋,2
11699,伊朗,5
11058,斯里兰卡,5
10069,尼泊尔,6
10182,印度,15
10062,美国,15
10122,英国,15
11131,爱尔兰,11
10051,意大利,15
10171,法国,15
10169,瑞士,13
10173,西班牙,15
10172,葡萄牙,2
10300,俄罗斯,12
10176,德国,15
10175,奥地利,11
10168,希腊,14
10053,土耳其,13
10174,捷克,7
11094,匈牙利,2
14431,冰岛,15
11099,荷兰,8
11105,比利时,5
14431,欧洲其他,15
10202,澳大利亚,15
10544,新西兰,15
10178,埃及,5
12033,摩洛哥,4
10065,北京,15
10099,上海,4
10208,重庆,6
10320,天津,1
10177,加拿大,15
10160,巴西,8
11684,古巴,5
11656,墨西哥,15
11005,秘鲁,2
11044,斐济,3
10344,大溪地,1
11761,毛里求斯,2
16827,塞舌尔,1
10029,肯尼亚,4
17439,马达加斯加,1
