spotsID,scenicSpots,td_pageCount
12711,云南,190
12703,四川,194
14575,浙江,151
12938,海南,177
12871,福建,185
14387,江苏,89
14674,广东,145
12810,广西,179
12700,西藏,200
14103,贵州,4
31808,西北,195
12976,山东,200
13033,山西,200
13732,湖南,192
14731,湖北,98
12719,安徽,113
15508,江西,114
14407,河北,74
12967,河南,150
12720,内蒙古,3
16215,东北,195
12684,台湾,200
10189,香港,200
10206,澳门,200
10183,日本,200
10083,泰国,200
10754,新加坡,200
10181,印尼,121
10097,马来西亚,200
10180,越南,200
10070,柬埔寨,200
10179,缅甸,166
10067,菲律宾,200
10753,文莱,34
10101,马尔代夫,200
11213,阿联酋,90
11699,伊朗,79
11058,斯里兰卡,198
10069,尼泊尔,200
10182,印度,194
10062,美国,200
10122,英国,200
11131,爱尔兰,35
10051,意大利,189
10171,法国,196
10169,瑞士,200
10173,西班牙,200
10172,葡萄牙,65
10300,俄罗斯,200
10176,德国,197
10175,奥地利,118
10168,希腊,199
10053,土耳其,200
10174,捷克,106
11094,匈牙利,31
14431,冰岛,110
11099,荷兰,86
11105,比利时,32
14431,欧洲其他,110
10202,澳大利亚,200
10544,新西兰,200
10178,埃及,200
12033,摩洛哥,200
10065,北京,200
10099,上海,200
10208,重庆,200
10320,天津,200
10177,加拿大,200
10160,巴西,31
11684,古巴,53
11656,墨西哥,83
11005,秘鲁,39
11044,斐济,105
10344,大溪地,34
11761,毛里求斯,200
16827,塞舌尔,56
10029,肯尼亚,101
17439,马达加斯加,19
